recordid;departmentname;regioncode;departmentcode;oktmodepartment;end_date;autokey
2593583808150246977;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""УСТЬ-ИЛИМСКИЙ""";38;380-013;25738000;;MVDR23_DEPARTMENTS_2593583808150246977
2593588457267794986;МИГРАЦИОННЫЙ ПУНКТ ОТДМВД РОССИИ ПО УЛАГАНСКОМУ РАЙОНУ;04;040-010;84630435;;MVDR23_DEPARTMENTS_2593588457267794986
2593584242873079795;"МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ МО МВД РОССИИ ""БОГОТОЛЬСКИЙ"" ГУ МВД РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ";24;240-070;04655000;;MVDR23_DEPARTMENTS_2593584242873079795
2593584374238680180;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ (ДИСЛОКАЦИЯ Г. ПЕРВОМАЙСК) МЕЖМУНИЦИПАЛЬНОГО ОТДЕЛА МВД РОССИИ «ДИВЕЕВСКИЙ»;52;520-027;22734000;;MVDR23_DEPARTMENTS_2593584374238680180
2593584333193221197;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ МЕЖМУНИЦИПАЛЬНОГО ОТДЕЛА МВД РОССИИ «ГОРОДЕЦКИЙ»;52;520-021;22528000;;MVDR23_DEPARTMENTS_2593584333193221197
2593584490940994794;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО НОВООРСКОМУ РАЙОНУ;56;560-017;53630414;;MVDR23_DEPARTMENTS_2593584490940994794
2593584446540092608;"МИГРАЦИОННЫЙ ПУНКТ ОП МО МВД РОССИИ ""АБДУЛИНСКИЙ""";56;560-037;53627413;;MVDR23_DEPARTMENTS_2593584446540092608
2593582287488554209;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ «ЗЛЫНКОВСКОЕ» МЕЖМУНИЦИПАЛЬНОГО ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ «НОВОЗЫБКОВСКИЙ» (РЕАЛИЗУЮЩЕГО ЗАДАЧИ И ФУНКЦИИ ОРГАНОВ ВНУТРЕННИХ ДЕЛ НА ТЕРРИТОРИИ ЗЛЫНКОВСКОГО РАЙОНА);32;320-013;15720000;;MVDR23_DEPARTMENTS_2593582287488554209
2593587991389672975;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ПО ОРЕНБУРГСКОЙ ОБЛАСТИ;56;560-000;53701000;;MVDR23_DEPARTMENTS_2593587991389672975
2593584925387003527;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО ЧЕРНОМОРСКОМУ РАЙОНУ;91;910-027;35656000;;MVDR23_DEPARTMENTS_2593584925387003527
2593584336439612496;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ МУ МВД РОССИИ ""ОРСКОЕ""";56;560-048;53723000;;MVDR23_DEPARTMENTS_2593584336439612496
2593588095509075588;ОВД ТОДЖИНСКОГО Р-НА РЕСПУБЛИКИ ТЫВА;17;172-016;;;MVDR23_DEPARTMENTS_2593588095509075588
2593588480453907524;"МИГРАЦИОННЫЙ ПУНКТ МО МВД РОССИИ ""ТУРОЧАКСКИЙ""";04;040-004;84625475;;MVDR23_DEPARTMENTS_2593588480453907524
2593582600526239215;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО МАЙСКОМУ РАЙОНУ КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ;07;070-006;83620101;;MVDR23_DEPARTMENTS_2593582600526239215
2593584676245345695;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО МЕЧЕТЛИНСКОМУ РАЙОНУ;02;020-056;80642415;;MVDR23_DEPARTMENTS_2593584676245345695
2593582390592935220;МИГРАЦИОННЫЙ ПУНКТ ПУНКТА ПОЛИЦИИ ПО УСВЯТСКОМУ РАЙОНУ МО МВД РОССИИ «НЕВЕЛЬСКИЙ»;60;600-025;58658151;;MVDR23_DEPARTMENTS_2593582390592935220
2593583816832456265;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""УСОЛЬСКИЙ""";38;380-012;25736000;;MVDR23_DEPARTMENTS_2593583816832456265
2593588492483171410;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МВД ПО РЕСПУБЛИКЕ КАЛМЫКИЯ;08;080-000;85701000;;MVDR23_DEPARTMENTS_2593588492483171410
2593582160208204914;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ИНЖАВИНСКОМУ РАЙОНУ;68;680-012;68608000;;MVDR23_DEPARTMENTS_2593582160208204914
2593584165135849387;МИГРАЦИОННЫЙ ПУНКТ МО МВД РОССИИ «ПАРАБЕЛЬСКОЕ» УМВД РОССИИ ПО ТОМСКОЙ ОБЛАСТИ;70;700-010;69644000;;MVDR23_DEPARTMENTS_2593584165135849387
2593588483155039303;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО УСТЬ-КОКСИНСКОМУ РАЙОНУ;04;040-009;84640475;;MVDR23_DEPARTMENTS_2593588483155039303
2593582363439011100;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДОЛЖАНСКОМУ РАЙОНУ;57;570-009;54615151;;MVDR23_DEPARTMENTS_2593582363439011100
2593581523730961770;ОВД ТАНДИНСКОГО Р-НА РЕСПУБЛИКИ ТЫВА;17;172-005;;;MVDR23_DEPARTMENTS_2593581523730961770
2593582212007859363;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛА МВД РОССИИ ПО ГИАГИНСКОМУ РАЙОНУ;01;010-007;79605407;;MVDR23_DEPARTMENTS_2593582212007859363
2593584910899877497;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""САКСКИЙ""";91;910-025;35721000;;MVDR23_DEPARTMENTS_2593584910899877497
2593584724697945547;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО УЧАЛИНСКОМУ РАЙОНУ;02;020-026;80653101;;MVDR23_DEPARTMENTS_2593584724697945547
2593588090635294334;ОВД ПИЙ-ХЕМСКОГО Р-НА РЕСПУБЛИКИ ТЫВА;17;172-004;;;MVDR23_DEPARTMENTS_2593588090635294334
