id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
7860;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АТНИНСКОМ РНЕ;;160-039;127244;;160-039
7866;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЕТЮШСКОМ РНЕ;;160-058;127250;;160-058
7955;ОТДЕЛЕНИЕ МИЛИЦИИ 4 Г БРАТСКА ИРКУТСКОЙ ОБЛ;;383-004;128251;;383-004
8084;ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ В Г СЕЛЬЦО;;320-027;128356;;320-027
8106;МЕЖРАЙОННЫЙ ОТДЕЛ 2 УФМС РОССИИ ПО САНКТПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ ОБСЛУЖИВАЕТ ПЕТРОДВОРЦОВЫЙ РН Г САНКТПЕТЕРБУРГА И ЛОМОНОСОВСКИЙ РН ЛЕНИНГРАДСКОЙ ОБЛ;;780-119;128378;;780-119
8471;МИГРАЦИОННЫЙ ПУНКТ УФМС РОССИ ПО ИРКУТСКОЙ ОБЛАСТИ В УСТЬУДИНСКОМ РАЙОНЕ С МЕСТОМ ДИСЛОКАЦИИ В ПОС УСТЬУДА;;380-043;129280;;380-043
8488;ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ТАРУМОВСКОМ РНЕ;;050-041;128439;;050-041
8530;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СВЕЧИНСКОМ РАЙОНЕ;;430-029;128737;;430-029
8533;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ТУЖИНСКОМ РАЙОНЕ;;430-033;128740;;430-033
8534;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УНИНСКОМ РАЙОНЕ;;430-034;128741;;430-034
8535;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ШАБАЛИНСКОМ РАЙОНЕ;;430-037;128742;;430-037
8540;ОВД ЗАТО УГЛЕГОРСК АМУРСКОЙ ОБЛ;;282-026;128414;;282-026
13313;ОТДЕЛ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ И РЕСПУБЛИКЕ АЛТАЙ В Г РУБЦОВСКЕ;;220-044;129596;;220-044
13314;ОТДЕЛ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ И РЕСПУБЛИКЕ АЛТАЙ В Г РУБЦОВСКЕ;;220-044;129597;;220-044
13315;ОТДЕЛ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ И РЕСПУБЛИКЕ АЛТАЙ В Г РУБЦОВСКЕ;;220-044;129598;;220-044
13512;УФМС РОССИИ ПО СТАВРОПОЛЬСКОМУ КРАЮ И КАРАЧАЕВОЧЕРКЕССКОЙ РЕСПУБЛИКЕ;;260-001;129809;;260-001
13609;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО БУЗДЯКСКОМУ РАЙОНУ;;020-038;140046;;020-038
13637;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ХАЙБУЛЛИНСКОМУ РАЙОНУ;;020-066;140074;;020-066
13682;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ В Г МАХАЧКАЛА;;050-002;140119;;050-002
13683;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО Г БУЙНАКСКУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-003;140120;;050-003
13690;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО Г ЮЖНОСУХОКУМСКУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-010;140127;;050-010
13691;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО Г ДАГЕСТАНСКИЕ ОГНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-011;140128;;050-011
13692;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО АГУЛЬСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-012;140129;;050-012
13707;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО КУРАХСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-027;140144;;050-027
13709;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО ЛЕВАШИНСКОМУ РАЙОНУ;;050-029;140146;;050-029
13723;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО ЦУНТИНСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-043;140160;;050-043
13727;ГРУППА ПО ВОПРОСАМ МИГРАЦИИ МИГРАЦИОННОГО ПУНКТА ОМВД РОССИИ ПО КАЗБЕКОВСКОМУ РАЙОНУ П ДУБКИ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-054;140164;;050-054
13728;ГРУППА ПО ВОПРОСАМ МИГРАЦИИ МИГРАЦИОННОГО ПУНКТА ОМВД РОССИИ ПО ТАРУМОВСКОМУ РАЙОНУ П КОЧУБЕЙ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-055;140165;;050-055
13729;ГРУППА ПО ВОПРОСАМ МИГРАЦИИ МИГРАЦИОННОГО ПУНКТА ОТДЕЛЕНИЯ МВД РОССИИ ПО ЦУНТИНСКОМУ РАЙОНУ С БЕЖТА МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-056;140166;;050-056
13741;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ УРВАНСКИЙ;;070-004;140178;;070-004
13766;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ПО МАЛОКАРАЧАЕВСКОМУ РАЙОНУ МВД РОССИИ ПО КАРАЧАЕВАЧЕРКЕССКОЙ РЕСПУБЛИКИ;;090-005;140203;;090-005
13792;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО СУОЯРВСКОМУ РАЙОНУ;;100-019;140229;;100-019
13854;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО ВИЛЮЙСКОМУ РАЙОНУ;;140-012;140291;;140-012
13901;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МВД ПО РЕСПУБЛИКЕ ТАТАРСТАН МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-001;140338;;160-001
13902;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 1 АВИАСТРОИТЕЛЬНЫЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-002;140339;;160-002
13903;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 2 ВИШНЕВСКИЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-003;140340;;160-003
