id;name_ru;name_en;regula_code;elpost_code;epgu_code
195;ОВД ЦУМАДИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-044;3391;2593591985080112980
196;ОВД ЦУНТИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-045;3392;2593594776406201854
197;ОВД ЧАРОДИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-046;3393;2593589775747258082
198;ОВД Г ЮЖНОСУХОКУМСКА РЕСПУБЛИКИ ДАГЕСТАН;;052-047;3394;2593589833536378675
199;ОВД КИЗИЛЮРТОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-048;3395;2593591342537906154
200;ОВД КУМТОРКАЛИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-049;3396;2593595151167264705
201;ОВД ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-050;3397;2593593561375053731
202;ОВД Г ДАГЕСТАНСКИЕ ОГНИ РЕСПУБЛИКИ ДАГЕСТАН;;052-052;3399;2593589719375812240
203;ОВД ДОКУЗПАРИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-053;3400;2593592089308567507
204;БЕЖТИНСКИЙ ПОМ ЦУНТИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-001;3401;2593590107994854723
205;БЕЛИДЖИНСКИЙ ПОМ ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-002;3402;2593580941133747763
206;ДУБКИНСКОЕ ПОМ Г КИЗИЛЮРТА РЕСПУБЛИКИ ДАГЕСТАН;;053-003;3403;2593595178002421730
207;КОЧУБЕЙСКОЕ ПОМ ТАРУМОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-004;3404;2593595189620643825
