id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
3761.0;межрайонный отдел уфмс россии по брянской обл. в г. дятьково;;320-010;10085;2593587254584678014;
3762.0;тп в пгт балакирево оуфмс россии по владимирской обл. в александровском р-не;;330-002;10086;2593593344378541698;
3763.0;тп в г. карабаново оуфмс россии по владимирской обл. в александровском р-не;;330-003;10087;2593588712315032937;
131.0;прохладненский говд республики кабардино-балкария;;072-007;3444;2593589071624279836;
132.0;чегемский ровд республики кабардино-балкария;;072-008;3445;2593589453708596504;
3768.0;тп в пос. лянгасово оуфмс россии по кировской области в ленинском районе г. кирова;;430-045;10092;2593591546943116534;
133.0;черекский ровд республики кабардино-балкария;;072-009;3446;2593588998064576194;
134.0;баксанский ровд республики кабардино-балкария;;072-010;3447;2593589400264774862;
135.0;терский ровд республики кабардино-балкария;;072-011;3448;2593589454564234521;
136.0;эльбрусский ровд республики кабардино-балкария;;072-012;3449;2593589057028101898;
137.0;прохладненский ровд кабардино-балкарской республики;;072-013;3450;2593588976103200421;
138.0;баксанский говд кабардино-балкарской республики;;072-015;3451;2593579960211870910;
139.0;офмс россии по республике калмыкия;;080-000;3452;2593588468005213238;
140.0;мвд республики калмыкия;;081-001;3467;2593586934953546968;
141.0;увд г. элиста республики калмыкия;;082-001;3468;2593590109555135813;
142.0;овд городовиковского р-на республики калмыкия;;082-002;3469;2593589763843823313;
143.0;ики-бурульский ровд республики калмыкия;;082-003;3470;2593594816277255725;
144.0;кетченеровский ровд республики калмыкия;;082-004;3471;2593591886094538438;
145.0;лаганский ровд республики калмыкия;;082-005;3472;2593591469298160780;
146.0;малодербетовский ровд республики калмыкия;;082-006;3473;2593591429066396757;
147.0;октябрьский ровд республики калмыкия;;082-007;3474;2593594858002191966;
4415.0;озерновское пом овд усть-большерецкого районного мо камчатской обл.;;412-012;10109;2593594337203853240;
148.0;приютненский ровд республики калмыкия;;082-008;3475;2593589525129205121;
149.0;сарпинский ровд республики калмыкия;;082-009;3476;2593594858992047711;
150.0;целинный ровд республики калмыкия;;082-010;3477;2593590110318499142;
151.0;черноземельский ровд республики калмыкия;;082-011;3478;2593591428336587860;
152.0;юстинский ровд республики калмыкия;;082-012;3479;2593590111065085255;
153.0;яшалтинский ровд республики калмыкия;;082-013;3480;2593590689140839528;
154.0;яшкульский ровд республики калмыкия;;082-014;3481;2593580422038296399;
155.0;тп офмс россии по карачаево-черкесской республике в ногайском р-не;;090-013;3494;2593588667360482610;
156.0;мвд карачаево-черкесской республики;;091-001;3495;2593587385530849067;
157.0;адыге-хабльский ровд карачаево-черкесской республики;;092-001;3496;2593587409622931272;
158.0;зеленчукский ровд карачаево-черкесской республики;;092-002;3497;2593587618474103886;
159.0;майкопский ровд республики адыгея;;012-002;3268;2593591818029373032;
160.0;овд г. кизилюрта республики дагестан;;052-007;3354;2593588560456062125;
161.0;овд г. кизляра республики дагестан;;052-008;3355;2593590031784350938;
162.0;овд кизлярского р-на республики дагестан;;052-009;3356;2593589806751553292;
163.0;овд г. хасавюрта республики дагестан;;052-010;3357;2593580941804836404;
164.0;овд хасавюртовского р-на республики дагестан;;052-011;3358;2593590099857904952;
165.0;овд агульского р-на республики дагестан;;052-012;3359;2593593571860813745;
166.0;овд акушинского р-на республики дагестан;;052-013;3360;2593590102022165819;
167.0;овд ахвахского р-на республики дагестан;;052-014;3361;2593591986397124438;
168.0;овд ахтынского р-на республики дагестан;;052-015;3362;2593590107231491394;
169.0;овд бабаюртовского р-на республики дагестан;;052-016;3363;2593594775575729661;
170.0;овд ботлихского р-на республики дагестан;;052-017;3364;2593591346673489903;
171.0;овд гергебильского р-на республики дагестан;;052-018;3365;2593590927855457722;
172.0;овд гумбетовского р-на республики дагестан;;052-019;3366;2593593571122616240;
173.0;овд гунибского р-на республики дагестан;;052-020;3367;2593580598828209216;
174.0;овд дахадаевского р-на республики дагестан;;052-021;3368;2593590105100784959;
175.0;овд кайтагского р-на республики дагестан;;052-023;3370;2593590100663211321;
176.0;овд каякентского р-на республики дагестан;;052-024;3371;2593594782546662917;
177.0;овд кулинского р-на республики дагестан;;052-025;3372;2593580937711195694;
178.0;овд курахского р-на республики дагестан;;052-026;3373;2593580940504602162;
179.0;овд лакского р-на республики дагестан;;052-027;3374;2593591640182494582;
180.0;овд левашинского р-на республики дагестан;;052-028;3375;2593580197466871318;
181.0;овд карабудахкентского р-на республики дагестан;;052-029;3376;2593589718679557775;
182.0;овд магарамкентского р-на республики дагестан;;052-030;3377;2593595021353555750;
183.0;овд новолакского р-на республики дагестан;;052-031;3378;2593591343376766955;
